IBM Db2 Interactive CLI Sample Program
(C) COPYRIGHT International Business Machines Corp. 1993,1996
All Rights Reserved
Licensed Materials - Property of IBM
US Government Users Restricted Rights - Use, duplication or
disclosure restricted by GSA ADP Schedule Contract with IBM Corp.
> SELECT GROUPNAME, SITEID FROM SITEAUTH;
FetchAll:  Columns: 2
  GROUPNAME SITEID 
  Inv_ready, OP-BASE
  MAXEVERYONE, HTQ
  MAXEVERYONE, N06
  MAXEVERYONE, N08
  MAXEVERYONE, N09
  MAXEVERYONE, ODN1
  MAXEVERYONE, ODN2
  OOG_ALLSITES, N06
  OOG_ALLSITES, N08
  OOG_ALLSITES, N09
  OOG_ALLSITES, ODN1
  OOG_ALLSITES, ODN2
  OOG_ALLSITES, ODN3
  OOG_ALLSITES, ODN4
  OOG_ALLSITES, OP-BASE
  OOG_ALLSITES, PLSVCA
  OOG_ALLSITES, PLSVEM
  OOG_ALL_DRILLING, BASE-UNP
  OOG_ALL_DRILLING, HTQ
  OOG_ALL_DRILLING, N06
  OOG_ALL_DRILLING, N08
  OOG_ALL_DRILLING, N09
  OOG_ALL_DRILLING, ODN1
  OOG_ALL_DRILLING, ODN2
  OOG_ALL_DRILLING, OP-BASE
  OOG_ALL_DRILLING, POL
  OOG_ALL_PERF, N06
  OOG_ALL_PERF, N08
  OOG_ALL_PERF, N09
  OOG_ALL_PERF, ODN1
  OOG_ALL_PERF, ODN2
  OOG_ALL_PERF, ODN3
  OOG_ALL_PERF, ODN4
  OOG_ALL_PERF, OP-BASE
  OOG_MATERIAL_ENGINEER, ODN4
  OOG_USERS_HTQ, OP-BASE
  OOG_USERS_HTQ, PLSVCA
  OOG_USERS_HTQ, PLSVEM
  PRIO_USERS, OP-BASE
  PRIO_USERS, PLSVCA
  PRIO_USERS, PLSVEM
FetchAll: 41 rows fetched.
> 
